brand, generic, category
advil, ibuprofen, analgesic (nsaid)
ativan, lorazepam, antianxiety (c-iv)
celexa, citalopram, antidepressant (ssri)
cipro, ciprofloxacin, antibiotic
coumadin, warfarin, anticlotting
dyrenium, triamterene, diuretic/ antihypertensive
flexeril, cyclobenzaprine, muscle relaxer
flonase, fluticasone, anti-inflammatory steroid
keflex, cephalexin, antibiotic
klonopin, clonazepam, antianxiety (c-iv)
lexapro, escitalopram, antidepressant (ssri)
neurontin, gabapentin, anticonvulsant
plavix, clopidogrel, anticlotting
pravachol, pravastatin, cholesterol lowering
proair/ ventolin/ proventil, albuterol, bronchodilator
prozac, fluoxetine, antidepressant (ssri)
septra, sulfamethoxazole + trimethoprim, antibiotic combo
singulair, montelukast, anti-asthmatic
sterapred, prednisone, anti-inflammatory steroid
ultram, tramadol, analgesic (c-iv)
