ambien, zolpidem, sleep aid (C-IV)
amoxil, amoxicillin, antibiotic
augmentin, amoxicillin + clavulanate, antibiotic
glucophage, metformin, antidiabetic
lasix, furosemide, diuretic/ antihypertensive
lipitor, atorvastatin, cholesterol lowering
lopressor, metoprolol, antihypertensive
microzide, hydrochlorothiazide (hctz), diuretic/ antihypertensive
nexium, esomeprazole, antacid (ppi)
norvasc, amlodipine, antihypertensive
percocet, oxycodone + APAP, analgesic (C-II)
prilosec, omeprazole, antacid (ppi)
prinivil/ zestril, lisinopril, antihypertensive
synthroid, levothyroxine, thyroid hormone replacement
tenormin, atenolol, antihypertensive
vicodine/ lortab, hydrocodone + APAP, analgesic (C-II)
xanax, alprazolam, antianxiety (C-IV)
zithromax, azithromycin, antibiotic
zocor, simvastatin, cholesterol lowering
zoloft, sertraline, antidepressant (SSRI)
advil, ibuprofen, analgesic (nsaid)
ativan, lorazepam, antianxiety (c-iv)
celexa, citalopram, antidepressant (ssri)
cipro, ciprofloxacin, antibiotic
coumadin, warfarin, anticlotting
dyrenium, triamterene, diuretic/ antihypertensive
flexeril, cyclobenzaprine, muscle relaxer
flonase, fluticasone, anti-inflammatory steroid
keflex, cephalexin, antibiotic
klonopin, clonazepam, antianxiety (c-iv)
lexapro, escitalopram, antidepressant (ssri)
neurontin, gabapentin, anticonvulsant
plavix, clopidogrel, anticlotting
pravachol, pravastatin, cholesterol lowering
proair/ ventolin/ proventil, albuterol, bronchodilator
prozac, fluoxetine, antidepressant (ssri)
septra, sulfamethoxazole + trimethoprim, antibiotic combo
singulair, montelukast, anti-asthmatic
sterapred, prednisone, anti-inflammatory steroid
ultram, tramadol, analgesic (c-iv)
advair, fluticasone + salmeterol, steroid + bronchodilator
aleve, naproxen, analgesic (nsaid)
zyrtec, cetirizine, antihistamine (h1)
coreg, carvedilol, antihypertensive
crestor, rosuvastatin, cholesterol lowering
cymbalta, duloxetine, antidepressant (snri)
desyrel, trazodone, antidepressant
diflucan, fluconazole, antifungal
diovan, valsartan, antihypertensive
effexor, venlafaxine, antidepressant (snri)
elavil, amitriptyline, antidepressant
fosamax, alendronate, bone strengthener
klor-chon, potassium chloride, electrolyte
mevacor, lovastatin, cholesterol lowering
mobic, meloxicam, analgesic (nsaid)
paxil, paroxetine, antidepressant (ssri)
valium, diazepam, antianxiety (c-iv)
vibramycin, doxycycline, antibiotic
minipress, prazosin, antihypertensive
bystolic, nebivolol, antihypertensive
actos, pioglitazone, antidiabetic
catapres, clonidine, antihypertensive/ sleep aid
celebrex, celecoxib, analgesic (nsaid)
flomax, tamsulosin, reduces enlarged prostate
lantus, insulin glargine, insulin
levaquin, levofloxacin, antibiotic
medrol, methylprednisone, anti-inflammatory steroid
oxycontin, oxycodone, analgesic (C-II)
phenergan, promethazine, antinausea/ anti-emetic
prevacid, lansoprazole, antacid (ppi)
edarbi, azilsartan, antihypertensive
seroquel, quetiapine, antipsychotic
soma, carisoprodol, muscle relaxer (C-IV)
tricor, fenofibrate, cholesterol lowering
tylenol 3, codeine + apap, analgesic (C-II)
vasotech, enalapril, antihypertensive
viagra, sildenafil, erectile dysfunction
focalin, dexmethylphenidate, adhd (C-II)
yaz, ethinyl estradiol + drospirenone, birth control
zyloprim, allopurinol, antigout
