brand, generic, category
apresoline, hydralazine, antihypertensive
avelox, moxifloxacin, antibiotic
avodart, dutasteride, reduces enlarged prostate
dyazide, triamterene + hctz, antihypertensive (2 diuretics)
cogentin, benztropine, anti-Parkinsons
humira, adalimumab, immunosuppressive (arthritis + cohns + ulcerative colitis)
dilantin, phenytoin, anticonvulsant
ditropan, oxybutynin, overactive bladder
keppra, levetiracetam, anticonvulsant
victoza, liraglutide, antidiabetic (increases insulin secretion from pancreas)
lioresal, baclofen, muscle relaxer
trileptal, oxcarbazepine, anticonvulsant
nizoral, ketoconazole, antifungal
pamelor, nortryptyline, antidepressant
plaquenil, hydroxychloroquine, arthritis/ lupus
protonix, pantoprazole, antacid (ppi)
pyridium, phenazopyridine, analgesic (urinary)
strattera, atomoxetine, adhd
janumet, metformin + sitagliptin, antidiabetic combo
jardiance, empagliflozin, antidiabetic
